timestamp,ticker,price_krw,price_usd,chg_30m_pct,vol_z,cvd_1h,rsi,rsi_delta,bb_percent,ls_ratio,atr_pct,oi_change_pct,funding,vol_24h_m,ema20,ema60,ema120,box_high,box_low,recent_pct,long_score,short_score,prepump_score,preshort_score,interval,ema_l,ema_s,pp_l,pp_s,cvd_l,cvd_s,oi_sc,m30_l,m30_s,volz_sc,liquidity_sc
2026-07-11 21:09:22,ETC,10560.0,7.073,0.0,-0.8,0.0,49.0,-5.9,38.6,1.534,0.27,0.17,0.01,175,10573.89329035,10535.75094248,10545.63660693,10630.0,10520.0,1.832,22,8,29,17,1h,10,0,5,0,5,5,0,0,0,3,0
2026-07-11 21:09:22,ETH,2682000.0,1799.01,0.0,-0.8,27.68,59.4,-3.2,70.9,1.685,0.3,0.05,0.0052,15996,2675551.75641699,2656067.79364333,2643105.40981882,2689000.0,2654000.0,3.392,41,12,39,27,1h,20,0,0,5,15,0,0,0,0,3,5
2026-07-11 21:09:22,BCH,368100.0,246.7,0.409,-1.3,16.55,56.1,8.2,77.2,2.075,0.47,0.02,0.0021,636,366129.48476377,362733.35387966,358685.00651064,371200.0,363100.0,6.696,41,12,36,27,1h,20,0,0,5,15,0,0,0,0,3,5
2026-07-11 21:09:22,ICX,37.39,0.02515,0.809,-0.4,0.0,56.0,0.5,71.9,2.404,0.75,0.07,0.005,3,37.09293733,36.95290073,37.11542723,37.97,36.7,0.295,22,12,30,17,1h,0,0,0,5,5,5,0,15,0,3,0
2026-07-11 21:09:22,QTUM,1034.0,0.6922,0.194,-0.4,6242.3,51.0,8.9,68.8,2.021,0.28,0.31,0.01,44,1032.78701084,1035.95945087,1040.38318907,1037.0,1027.0,0.388,17,17,40,22,1h,0,10,0,5,15,0,0,0,0,3,0
2026-07-11 21:09:22,XRP,1653.0,1.1075,-0.121,-1.7,14503.36,56.8,1.1,78.7,2.839,0.26,-0.03,0.01,16334,1649.59149364,1648.04007574,1654.19240005,1655.0,1636.0,2.29,17,8,33,40,1h,0,0,0,5,15,0,0,0,0,3,0
2026-07-11 21:09:22,ZIL,4.606,0.003084,3.529,3.5,486059.55,74.0,27.1,136.8,1.744,0.64,-0.05,0.005,83,4.47614386,4.47546289,4.49117722,4.689,4.417,4.492,43,24,37,50,1h,0,0,0,5,15,0,0,10,0,15,5
2026-07-11 21:09:22,STEEM,61.15,0.04113,0.0,1.9,2735.28,59.0,3.7,93.4,2.079,0.41,0.29,0.005,24,60.67887691,60.73388719,61.06150344,61.24,60.28,-2.534,48,19,34,27,1h,0,0,20,5,15,0,0,0,0,10,5
2026-07-11 21:09:22,KNC,164.0,0.1113,-0.606,-0.9,-15204.84,59.1,11.0,98.7,2.635,0.61,0.61,0.01,38,163.37217965,163.08848771,163.3093382,165.0,163.0,2.5,27,41,46,27,1h,0,0,20,5,0,15,0,0,15,3,5
2026-07-11 21:09:22,TRX,494.0,0.33099,0.203,-1.0,-17846.76,56.3,12.1,98.9,1.389,0.29,1.19,-0.0031,1151,492.83339569,493.3200907,493.04715132,494.0,490.0,0.816,29,29,38,25,1h,0,0,20,5,0,15,7,0,0,3,0
2026-07-11 21:09:22,ELF,91.93,,0.0,-0.4,2315.79,53.2,6.2,70.5,,0.44,0.0,0.0,5,91.55191883,91.66822397,91.96126416,94.57,89.92,-0.895,17,8,37,17,1h,0,0,0,5,15,0,0,0,0,3,0
2026-07-11 21:09:22,WAXP,6.142,0.004122,-0.631,2.0,-1505960.81,62.9,4.4,94.6,2.544,0.78,-4.32,0.005,100,6.04271676,6.02787208,6.08343343,6.297,5.958,2.367,38,52,25,58,1h,0,0,20,5,0,15,0,0,15,15,5
2026-07-11 21:09:22,POWR,65.68,0.04479,-0.665,-0.1,-14995.13,58.8,-6.5,71.9,1.091,0.65,-0.9,0.005,27,65.31049781,64.93057979,65.17672547,66.97,63.68,3.498,8,41,24,48,1h,0,0,0,5,0,15,0,0,15,3,5
2026-07-11 21:09:22,GLM,149.0,0.10049,0.0,-0.2,0.0,54.3,-0.5,57.7,1.614,0.53,0.35,0.005,25,148.42131107,147.89586379,148.84952411,151.0,147.0,-2.614,12,17,33,17,1h,0,0,0,5,5,5,0,0,0,3,5
2026-07-11 21:09:22,ZRX,130.0,0.0894,0.0,-0.4,0.0,46.6,-7.8,33.6,1.859,0.71,-0.22,0.005,10,130.84220773,130.39321766,129.63672723,134.0,129.0,-1.515,17,12,41,30,1h,0,0,5,0,5,5,0,0,0,3,5
2026-07-11 21:09:22,THETA,219.0,0.148,0.0,-0.5,279792.18,62.9,-6.6,74.1,1.47,2.64,-1.68,-0.0835,246,213.9314026,209.46565969,208.44867098,232.0,201.0,3.302,41,12,45,38,1h,20,0,0,5,15,0,0,0,0,3,5
2026-07-11 21:09:22,CVC,30.27,0.02068,0.0,-0.8,-7680.08,52.9,-5.3,54.3,3.625,0.82,1.67,0.005,26,30.20444314,30.16795508,30.45695066,30.7,29.52,-2.512,14,33,34,23,1h,0,0,0,5,0,15,7,0,0,3,5
2026-07-11 21:09:22,BAT,129.0,0.0866,0.781,0.0,0.0,58.5,8.7,95.3,1.472,0.72,0.02,0.01,6,127.46549436,127.35468998,127.65086481,129.0,126.0,-0.769,41,12,38,24,1h,0,0,20,5,5,5,0,15,0,3,0
2026-07-11 21:09:22,LINK,11940.0,8.0,0.252,-0.6,-271.61,61.4,0.3,74.5,2.241,0.3,0.15,0.0081,669,11889.69788742,11786.25103432,11747.50734692,11950.0,11770.0,5.291,27,27,22,37,1h,20,0,0,5,0,15,0,0,0,3,5
2026-07-11 21:09:22,ADA,251.0,0.168,0.0,-1.2,275348.4,57.6,4.1,107.8,2.272,0.6,-0.15,-0.0038,1690,249.36128419,250.82763709,254.14807425,251.0,247.0,0.0,41,12,39,45,1h,0,0,20,5,15,0,0,0,0,3,5
2026-07-11 21:09:22,SNT,11.03,0.02531,0.0,-0.1,-94086.62,58.0,7.0,92.6,,0.46,0.0,0.0,9,10.96027927,10.92694807,10.91299419,11.08,10.85,-0.631,41,22,36,39,1h,20,0,20,5,0,15,0,0,0,3,0
2026-07-11 21:09:22,WAVES,392.0,0.75728182,0.771,1.5,1725.9,54.8,7.6,66.4,,0.4,0.0,0.0,45,390.23438753,389.45320176,391.13212052,394.0,388.0,1.292,43,19,38,22,1h,0,0,0,5,15,0,0,15,0,10,5
2026-07-11 21:09:22,MTL,340.0,0.2296,0.0,1.9,16230.09,59.7,11.4,99.0,1.966,0.63,0.5,0.01,30,336.5611668,335.70710105,337.39527861,340.0,330.0,0.592,48,19,46,27,1h,0,0,20,5,15,0,0,0,0,10,5
2026-07-11 21:09:22,IOST,1.058,0.0007168,0.0,3.6,174487.92,60.2,10.4,112.5,2.072,0.51,-1.2,0.01,7,1.04916288,1.04885943,1.05467914,1.065,1.037,0.57,48,19,42,48,1h,0,0,20,5,15,0,0,0,0,15,0
2026-07-11 21:09:22,VET,7.262,0.004933,0.179,0.4,1093685.2,70.8,4.6,94.3,1.625,0.7,0.01,-0.0042,86,7.13512522,7.07930573,7.0701209,7.298,6.963,3.595,41,12,52,32,1h,20,0,0,5,15,0,0,0,0,3,5
2026-07-11 21:09:22,ENJ,42.34,0.02853,0.189,-0.2,44551.06,48.6,-2.9,43.3,1.109,0.89,-0.72,0.005,53,42.43523445,42.50936866,42.84203511,43.64,41.76,-1.512,27,27,47,30,1h,0,20,5,0,15,0,0,0,0,3,5
2026-07-11 21:09:22,TFUEL,11.81,,0.0,3.9,-1163721.36,54.9,-3.0,71.6,,1.14,0.0,0.0,44,11.73157184,11.68793741,11.69603841,12.19,11.51,-2.154,19,38,34,47,1h,0,0,0,5,0,15,0,0,0,15,5
2026-07-11 21:09:22,BSV,20120.0,13.68,-0.445,0.5,-218.35,53.9,3.2,74.1,2.584,0.55,-0.04,0.005,55,20046.12863208,20028.38200027,20207.32333838,20280.0,19770.0,3.818,8,27,32,42,1h,0,0,0,5,0,15,0,0,0,3,5
2026-07-11 21:09:22,ORBS,9.107,0.01807714,-0.35,-0.2,-957255.96,42.3,-2.2,8.7,,1.1,0.0,0.0,191,9.20600421,9.1902353,9.10863307,9.8,9.095,-6.518,12,41,42,37,1h,0,0,5,20,0,15,0,0,0,3,5
2026-07-11 21:09:22,AMO,0.4054,,-0.172,0.6,-4139484.38,46.0,-14.1,16.3,,0.72,0.0,0.0,12,0.40756121,0.40815435,0.41234066,0.4114,0.4033,-4.025,12,41,39,37,1h,0,20,5,0,0,15,0,0,0,3,5
2026-07-11 21:09:22,ANKR,5.957,0.003833,10.009,4.2,-1679034.93,88.6,32.3,145.7,1.919,1.51,1.87,-0.066,235,5.42514424,5.37295747,5.37713314,6.371,5.309,8.487,40,45,27,45,1h,0,0,10,5,0,15,7,5,0,15,5
2026-07-11 21:09:22,CRO,83.68,,-0.036,-0.6,-2551.54,51.0,8.3,65.4,,0.36,0.0,0.0,31,83.55022873,84.04927581,84.90133409,84.2,82.8,-0.559,8,36,24,34,1h,0,10,0,5,0,15,0,0,0,3,5
2026-07-11 21:09:22,CHR,23.16,0.01547,-0.172,-0.4,15325.19,72.0,8.6,108.8,2.073,1.2,0.61,0.01,6,22.11626315,21.96659716,22.13445554,23.2,21.34,2.979,17,8,39,32,1h,0,0,0,5,15,0,0,0,0,3,0
2026-07-11 21:09:22,MBL,1.056,,0.476,-0.3,-597141.35,54.8,0.4,56.8,,0.61,0.0,0.0,12,1.05191898,1.05011829,1.04887032,1.102,1.039,-2.313,27,27,46,34,1h,20,0,0,5,0,15,0,0,0,3,5
